aggregatable,aiPredictionField,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,formulaTreatNullNumberAsZero,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sortable,type,unique,updateable,writeRequiresMasterRead
True,False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,True,False,False,True,,Account ID,18,,,Id,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,tns:ID,True,id,False,False,False
False,False,False,0,False,,False,False,,,False,False,False,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Deleted,0,,,IsDeleted,False,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:boolean,True,boolean,False,False,False
True,False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Master Record ID,18,,,MasterRecordId,False,False,True,False,[],False,0,False,,['Account'],MasterRecord,,False,False,0,False,tns:ID,True,reference,False,False,False
True,False,False,765,False,,False,False,Name,,True,False,,,False,False,False,0,False,False,False,switchablepersonname,True,,False,True,False,False,False,,Account Name,255,,,Name,True,False,False,False,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Account Type,255,,,Type,False,False,True,True,"[OrderedDict([('active', True), ('defaultValue', False), ('label', 'Prospect'), ('validFor', None), ('value', 'Prospect')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Customer - Direct'), ('validFor', None), ('value', 'Customer - Direct')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Customer - Channel'), ('validFor', None), ('value', 'Customer - Channel')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Channel Partner / Reseller'), ('validFor', None), ('value', 'Channel Partner / Reseller')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Installation Partner'), ('validFor', None), ('value', 'Installation Partner')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Technology Partner'), ('validFor', None), ('value', 'Technology Partner')]), OrderedDict([('active', True), ('defaultValue', False), ('label', 'Other'), ('validFor', None), ('value', 'Other')])]",False,0,False,,[],,,False,False,0,False,xsd:string,True,picklist,False,True,False
True,False,False,18,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Parent Account ID,18,,,ParentId,False,False,True,True,[],False,0,False,,['Account'],Parent,,False,False,0,True,tns:ID,True,reference,False,True,False
True,False,False,765,False,,False,False,BillingAddress,,True,False,,,False,False,False,0,False,False,False,plaintextarea,True,,False,True,False,False,False,,Billing Street,255,,,BillingStreet,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,textarea,False,True,False
True,False,False,120,False,,False,False,BillingAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Billing City,40,,,BillingCity,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,240,False,,False,False,BillingAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Billing State/Province,80,,,BillingState,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
True,False,False,60,False,,False,False,BillingAddress,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Billing Zip/Postal Code,20,,,BillingPostalCode,False,False,True,True,[],False,0,False,,[],,,False,False,0,False,xsd:string,True,string,False,True,False
